2022-11-13 22:41:59,707 - project - DEBUG - stations collection dropped sucessfuly
2022-11-13 22:41:59,805 - project - DEBUG - Getting vlille infos from website
2022-11-13 22:42:00,622 - project - DEBUG - Formating vlille to MongoDB format
2022-11-13 22:42:00,791 - project - INFO - Start fetching the update of vlilles
2022-11-13 22:42:00,791 - project - DEBUG - Getting vlille infos from website
2022-11-13 22:42:01,251 - project - INFO - Updating databse : 260 elements to update...
2022-11-13 22:42:07,211 - project - DEBUG - Element 128/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 183
2022-11-13 22:42:07,252 - project - DEBUG - Element 129/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 8
2022-11-13 22:42:07,333 - project - DEBUG - Element 130/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 161
2022-11-13 22:42:07,374 - project - DEBUG - Element 131/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 175
2022-11-13 22:42:07,414 - project - DEBUG - Element 132/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 176
2022-11-13 22:42:07,456 - project - DEBUG - Element 133/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 120
2022-11-13 22:42:07,498 - project - DEBUG - Element 134/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 121
2022-11-13 22:42:07,537 - project - DEBUG - Element 135/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 146
2022-11-13 22:42:07,579 - project - DEBUG - Element 136/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 276
2022-11-13 22:42:07,619 - project - DEBUG - Element 137/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 300
2022-11-13 22:42:07,659 - project - DEBUG - Element 138/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 10
2022-11-13 22:42:07,700 - project - DEBUG - Element 139/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 164
2022-11-13 22:42:07,740 - project - DEBUG - Element 140/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 221
2022-11-13 22:42:07,782 - project - DEBUG - Element 141/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 190
2022-11-13 22:42:07,822 - project - DEBUG - Element 142/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 192
2022-11-13 22:42:07,864 - project - DEBUG - Element 143/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 21
2022-11-13 22:42:07,906 - project - DEBUG - Element 144/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 28
2022-11-13 22:42:07,946 - project - DEBUG - Element 145/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 62
2022-11-13 22:42:07,987 - project - DEBUG - Element 146/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 256
2022-11-13 22:42:08,027 - project - DEBUG - Element 147/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 94
2022-11-13 22:42:08,068 - project - DEBUG - Element 148/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 108
2022-11-13 22:42:08,109 - project - DEBUG - Element 149/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 114
2022-11-13 22:42:08,149 - project - DEBUG - Element 150/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 230
2022-11-13 22:42:08,190 - project - DEBUG - Element 151/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 77
2022-11-13 22:42:08,222 - project - DEBUG - Element 152/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 64
2022-11-13 22:42:08,263 - project - DEBUG - Element 153/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 20
2022-11-13 22:42:08,304 - project - DEBUG - Element 154/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 29
2022-11-13 22:42:08,345 - project - DEBUG - Element 155/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 163
2022-11-13 22:42:08,386 - project - DEBUG - Element 156/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 43
2022-11-13 22:42:08,426 - project - DEBUG - Element 157/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 48
2022-11-13 22:42:08,467 - project - DEBUG - Element 158/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 169
2022-11-13 22:42:08,509 - project - DEBUG - Element 159/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 170
2022-11-13 22:42:08,548 - project - DEBUG - Element 160/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 115
2022-11-13 22:42:08,588 - project - DEBUG - Element 161/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 123
2022-11-13 22:42:08,629 - project - DEBUG - Element 162/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 261
2022-11-13 22:42:08,679 - project - DEBUG - Element 163/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 246
2022-11-13 22:42:08,727 - project - DEBUG - Element 164/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 311
2022-11-13 22:42:08,767 - project - DEBUG - Element 165/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 312
2022-11-13 22:42:08,808 - project - DEBUG - Element 166/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 299
2022-11-13 22:42:08,850 - project - DEBUG - Element 167/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 12
2022-11-13 22:42:08,889 - project - DEBUG - Element 168/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 162
2022-11-13 22:42:08,930 - project - DEBUG - Element 169/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 36
2022-11-13 22:42:08,962 - project - DEBUG - Element 170/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 99
2022-11-13 22:42:09,002 - project - DEBUG - Element 171/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 101
2022-11-13 22:42:09,045 - project - DEBUG - Element 172/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 31
2022-11-13 22:42:09,085 - project - DEBUG - Element 173/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 213
2022-11-13 22:42:09,125 - project - DEBUG - Element 174/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 58
2022-11-13 22:42:09,166 - project - DEBUG - Element 175/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 61
2022-11-13 22:42:09,206 - project - DEBUG - Element 176/260 updated! with 'date': 'date': 2022-11-13 21:33:30+00:00, 'station_id': 117
2022-11-13 22:42:09,249 - project - DEBUG - Element 177/260 updated! with 'date': 'date': 2022-11-13 21:33:28+00:00, 'station_id': 3
2022-11-13 22:42:09,288 - project - DEBUG - Element 178/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 75
2022-11-13 22:42:09,338 - project - DEBUG - Element 179/260 updated! with 'date': 'date': 2022-11-13 21:33:29+00:00, 'station_id': 88
2022-11-13 22:42:09,378 - project - DEBUG - Element 180/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 241
2022-11-13 22:42:09,426 - project - DEBUG - Element 181/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 244
2022-11-13 22:42:09,460 - project - DEBUG - Element 182/260 updated! with 'date': 'date': 2022-11-13 21:33:32+00:00, 'station_id': 255
2022-11-13 22:42:09,501 - project - DEBUG - Element 183/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 180
2022-11-13 22:42:09,541 - project - DEBUG - Element 184/260 updated! with 'date': 'date': 2022-11-13 21:33:31+00:00, 'station_id': 249
